sample	genus_species	type	dbh(cm)	height(m)	total_root_fresh_mass(g)	root_tips_fresh_mass(g)	remaining_root_fresh_mass(g)	remaining_root_dry_mass(g)	root_tips_dry_mass(g)	total_root_dry_mass(g)	root_tip_mass_fraction(%)	root_dry_matter_content(mg/g)	root_water_content(%)	root_length(cm)	specific_root_length(cm/g)	root_area(cm²)	specifc_root_area(cm²/g)	root_avg_diam(mm)	root_len_per_vol(cm/m³)	root_volume(cm³)	root_tissue_density(g/cm³)	n_root_tips	branchiness(tips/length)	tip_abundance(tips/g)	n_forks	n_crossings
46	Micromelum integerrimum	AM	1.50	3.00	0.30	0.11	188.00	0.06	0.03	0.09	31.67	313.30	68.67	107.37	1159.53	20.03	216.33	0.63	107.37	303.00	0.31	238.00	2.25	2525.05	297.33	13.67
47	Myrsine seguinii	AM	2.20	3.20	283.00	0.11	0.18	69.00	0.03	0.10	25.78	356.66	64.33	76.84	695.84	14.93	139.04	0.64	76.84	0.23	0.46	86.33	1.08	761.41	83.00	4.00
48	Phoebe lanceolata	AM	3375.00	5.20	0.38	0.16	217.00	0.07	0.05	0.11	42.11	301.52	69.85	83.93	784.88	20.05	183.77	0.80	83.93	0.39	0.30	291.75	4.97	3359.55	169.67	4.67
49	Phoebe puwenensis	AM	14.30	9.00	0.29	124.00	0.17	0.05	0.04	0.08	40.72	289.19	71.08	44.73	554.80	10826.00	131.80	0.76	44.73	0.21	0.40	88.67	2.12	1211.19	62.67	0.67
50	Pittosporum kerrii	AM	5.20	5.40	795.00	0.21	0.59	148.00	0.06	0.21	28.40	268.53	73.15	82.80	396.04	26.41	126.63	1.03	82.80	672.00	0.31	93.67	1.17	451.47	107.00	5.33
51	Polyalthia simiarum	AM	5.50	6625.00	1.14	0.52	0.62	0.13	0.15	0.27	52.38	245.87	75.41	102.10	392.35	34.67	129.85	1.13	102.10	0.97	0.29	141.25	1.51	566.11	101.50	1.67
52	Semecarpus reticulata	AM	4.55	6.60	0.47	0.20	0.27	0.08	0.06	0.14	35.57	321.70	67.83	115.85	793.89	26.41	177.48	0.71	115.85	0.49	0.37	368.50	3.74	2722.78	328.17	7.50
53	Toxicodendron acuminatum	AM	10.40	8.20	0.51	0.25	261.00	75.00	0.07	0.15	46.90	296.72	70.33	166.10	1244.04	28.72	212.33	0.55	166.10	0.40	0.41	414.67	2.51	3115.83	771.00	38.67
54	Xanthophyllum flavescens	AM	6.67	7.90	0.35	0.06	0.29	0.11	0.02	0.13	15.09	356.46	64.35	50.54	590.41	12.36	127.79	0.78	50.54	256.00	0.46	189.22	3.93	2386.10	84.78	1.33
55	Castanopsis calathiformis	ECM	2.50	4.00	0.55	0.16	392.00	0.14	0.04	0.19	25.16	340.35	65.96	112.48	669.65	23.61	133.94	0.66	112.48	402.00	0.46	242.67	2.22	1553.31	261.33	11.33
56	Castanopsis fleuryi	ECM	3.10	5.83	0.53	0.26	271.00	0.08	0.07	0.15	45.93	300.86	69.91	210.18	1412.06	31.37	213.54	0.48	210.18	0.38	0.42	546.00	2.52	3428.06	672.22	45.78
57	Engelhardia roxburghiana	ECM	13.30	8.00	264.00	0.04	0.23	0.08	0.01	0.09	29.28	279.38	72.06	29.52	921.58	7.19	167.57	0.82	29.52	0.16	0.44	96.00	3.43	2661.26	54.67	2.00
58	Engelhardia spicata	ECM	2.20	2.60	482.00	0.29	0.19	0.08	0.08	0.16	50.84	341.03	65.90	122.29	761.71	28.75	176.87	0.74	122.29	0.54	0.32	210.00	1.71	1341.33	323.00	6.67
59	Lithocarpus bacgiangensis	ECM	2.25	4.50	0.31	0.07	0.23	0.10	0.02	0.12	17.71	391.88	60.81	59.23	501.65	13.17	111.52	0.72	59.23	235.00	0.51	199.67	3.39	1724.14	151.67	4.67
60	Lithocarpus fenestratus	ECM	6.20	6.75	0.71	0.18	0.53	0.23	0.05	0.28	23.52	387.19	61.28	82.09	292.69	20.54	77.48	0.87	82.09	424.00	0.62	300.50	4.61	1344.22	264.17	8.50
61	Lithocarpus grandifolius	ECM	4.33	7.00	0.44	0.15	0.29	122.00	0.04	0.17	28.54	372.04	62.80	131.18	918.80	23.22	156.54	0.59	131.18	0.34	0.49	281.00	2.07	1968.31	412.00	24.00
62	Lithocarpus variolosus	ECM	12.30	9.10	0.35	0.06	286.00	113.00	0.02	0.13	13.92	378.89	62.11	86.01	699.58	17.43	140.27	0.67	86.01	284.00	0.48	360.00	4.26	2924.60	284.00	9.00
63	Castanopsis echinocarpa	ECM	3.02	4.12	0.50	0.19	0.30	0.10	0.06	0.15	36.54	312.84	68.72	203.95	1707.38	30.09	241.94	0.50	203.95	0.37	0.39	595.13	2.82	5066.31	840.20	59.73
64	Castanopsis ferox	ECM	4.40	2.50	0.62	195.00	0.42	0.14	0.06	0.20	26.53	327.62	67.24	197.12	942.68	35.22	172.86	0.68	197.12	0.52	0.40	547.67	3.17	2708.44	787.33	43.67
65	Castanopsis hystrix	ECM	6.56	8.50	0.54	0.18	0.36	0.14	0.05	0.19	31.78	340.30	65.97	176.64	1234.69	29.55	197.24	0.56	176.64	0.40	0.46	468.38	2.53	3237.25	608.95	33.00
66	Castanopsis indica	ECM	9.05	7.40	0.65	0.16	0.48	0.19	0.04	0.23	18.14	352.71	64.73	78.87	381.44	18.61	88.06	0.91	78.87	0.40	0.60	289.17	3.19	1417.51	218.25	9.50
